PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P380
Station name, OITCampus_OR2005
Begin Date, 2005-04-02
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P380.cwu.nam14.pos
Offset from source file, 34.14 mm North, -11.84 mm East, -7.69 mm Vertical
Reference position, 42.2596703428 North Latitude, -121.7796981421 East Longitude, 1390.82462 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-01-15,4.89, 1.47, 0.35, 2.59, 1.84, 8.14, repro,
2006-01-16,4.67, 0.38, 0.69, 2.55, 1.99, 8.39, repro,
2006-01-17,5.45, 0.05, 1.12, 2.27, 1.71, 7.46, repro,
2006-01-18,6.49, 1.72, 4.96, 2.18, 1.59, 7.11, repro,
2006-01-19,5.02, 0.60, -4.11, 2.69, 2, 8.77, repro,
2006-01-20,5.09, -0.64, -2.71, 2.33, 1.69, 7.66, repro,
2006-01-21,5.45, 0.43, 0.93, 2.6, 1.87, 8.37, repro,
2006-01-22,5.58, 0.87, -12.72, 3.01, 2.11, 9.29, repro,
2006-01-23,5.22, 0.58, -15.06, 2.81, 1.95, 8.74, repro,
2006-01-24,6.67, 2.14, 0.91, 6.45, 4.49, 19.8, repro,
2006-01-25,6.31, -1.14, -2.94, 3.66, 2.62, 11.48, repro,
2006-01-26,6.97, 0.73, -7.72, 2.31, 1.67, 7.64, repro,
2006-01-27,5.73, -0.05, -7.78, 2.36, 1.69, 7.59, repro,
2006-01-29,5.85, 0.85, -1.53, 2.17, 1.56, 7.17, repro,
2006-01-30,6.09, -1.25, -5.08, 2.15, 1.55, 7.09, repro,
2006-01-31,5.60, 1.13, -6.38, 2.19, 1.57, 7.24, repro,
2006-02-01,5.23, 1.75, 7.35, 2.15, 1.54, 7.1, repro,
2006-02-02,4.30, -0.97, 1.54, 2.49, 1.78, 8.13, repro,
2006-02-03,4.11, -1.29, -8.65, 3.17, 2.24, 10.29, repro,
2006-02-04,5.68, -0.21, -6.85, 4.18, 2.82, 12.83, repro,
2006-02-05,6.06, -0.79, -7.77, 2.64, 1.84, 8.59, repro,
2006-02-06,5.65, 0.10, -11.92, 2.64, 1.86, 8.65, repro,
2006-02-07,4.93, -0.23, -9.57, 3.43, 2.38, 11.46, repro,
2006-02-08,5.42, -0.23, -11.34, 3.32, 2.23, 10.47, repro,
2006-02-09,4.55, -0.01, -6.13, 3.19, 2.18, 10.25, repro,
2006-02-10,5.42, 0.05, -12.92, 3.15, 2.11, 9.9, repro,
2006-02-11,3.61, 0.79, -13.02, 2.93, 2.05, 9.58, repro,
2006-02-12,5.84, 0.00, -19.63, 3.11, 2.13, 10.1, repro,
2006-02-13,5.39, 0.19, -10.01, 2.8, 1.95, 9.23, repro,
2006-02-14,3.92, -0.09, -1.41, 3.12, 2.14, 10.15, repro,
2006-02-15,4.72, -0.16, -6.70, 2.98, 2.11, 10.14, repro,
2006-02-16,4.22, 0.01, -9.02, 3.11, 2.12, 10.05, repro,
